time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
6/7/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
6/8/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
6/9/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
6/10/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
6/11/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
6/12/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
6/13/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
6/14/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
6/15/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
6/16/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
6/17/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
6/18/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
6/19/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
6/20/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
6/21/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
6/22/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
6/23/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
6/24/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
6/25/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
6/26/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
6/27/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
6/28/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
6/29/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
6/30/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/1/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/2/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/3/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/4/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/5/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/6/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/7/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/8/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/9/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/10/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/11/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/12/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/13/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/14/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/15/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/16/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/17/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/18/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/19/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/20/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/21/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/22/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/23/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
