Price,Close,High,Low,Open,Volume
Ticker,WBTC-USD,WBTC-USD,WBTC-USD,WBTC-USD,WBTC-USD
Date,,,,,
2023-01-18,20632.87109375,21535.185546875,20471.123046875,21124.57421875,153183953
2023-01-19,21067.08203125,21126.4140625,20630.333984375,20630.333984375,75788322
2023-01-20,22603.564453125,22617.501953125,20908.220703125,21064.796875,115965685
2023-01-21,22722.21484375,23216.826171875,22472.99609375,22613.7890625,204137594
2023-01-22,22658.837890625,23003.548828125,22364.140625,22728.111328125,112070383
2023-01-23,22869.732421875,23054.896484375,22597.400390625,22654.26953125,121193181
2023-01-24,22555.5859375,23081.255859375,22480.837890625,22862.505859375,216681200
2023-01-25,23095.837890625,23618.677734375,22309.109375,22549.560546875,272030031
2023-01-26,22983.68359375,23189.98046875,22857.34765625,23095.6640625,140194689
2023-01-27,23040.15234375,23361.8828125,22602.53515625,22979.74609375,135388518
2023-01-28,22974.748046875,23130.296875,22824.494140625,23034.787109375,80470057
2023-01-29,23743.615234375,23854.146484375,22926.3046875,22975.607421875,149345492
2023-01-30,22779.080078125,23743.53515625,22582.3046875,23739.96484375,158282400
2023-01-31,23091.787109375,23153.37109375,22705.3515625,22781.740234375,86386560
2023-02-01,23695.4453125,23744.689453125,22828.98828125,23086.369140625,112536391
2023-02-02,23434.087890625,24139.404296875,23433.5703125,23689.5546875,162783695
2023-02-03,23430.94921875,23665.28125,23279.833984375,23432.5390625,126428534
2023-02-04,23303.595703125,23564.837890625,23263.6015625,23433.119140625,107058075
2023-02-05,22946.037109375,23390.146484375,22800.03125,23300.517578125,94927574
2023-02-06,22716.88671875,23104.822265625,22638.666015625,22942.783203125,120983083
2023-02-07,23263.55078125,23295.763671875,22705.884765625,22705.884765625,110769160
2023-02-08,22924.236328125,23393.5546875,22707.8125,23271.06640625,122217432
2023-02-09,21796.48828125,22989.966796875,21738.689453125,22927.55859375,226851117
2023-02-10,21599.322265625,21909.15234375,21490.76171875,21801.55859375,182654988
2023-02-11,21846.80859375,21868.984375,21568.67578125,21608.263671875,133224981
2023-02-12,21769.78125,22038.822265625,21633.73828125,21843.02734375,117436500
2023-02-13,21797.568359375,21876.79296875,21426.080078125,21770.376953125,171880305
2023-02-14,22233.17578125,22268.9453125,21601.8203125,21803.783203125,164077875
2023-02-15,24273.9765625,24278.31640625,22078.564453125,22228.705078125,219197924
2023-02-16,23632.208984375,25054.638671875,23632.208984375,24272.111328125,258568900
2023-02-17,24547.224609375,24836.54296875,23505.1484375,23632.05859375,277705685
2023-02-18,24611.546875,24788.375,24444.27734375,24552.71484375,157066230
2023-02-19,24309.89453125,25055.943359375,24309.89453125,24614.650390625,183602246
2023-02-20,24794.92578125,25004.314453125,23914.41796875,24308.515625,220574924
2023-02-21,24416.259765625,25086.720703125,24181.2109375,24798.82421875,229432715
2023-02-22,24155.7265625,24455.2421875,23631.943359375,24407.74609375,218852331
2023-02-23,23922.4765625,24534.984375,23696.384765625,24158.40625,208757813
2023-02-24,23185.857421875,24096.177734375,22981.435546875,23921.80078125,199430948
2023-02-25,23159.7109375,23201.888671875,22813.677734375,23185.021484375,188173642
2023-02-26,23553.865234375,23629.666015625,23078.9296875,23154.9140625,182844666
2023-02-27,23483.89453125,23828.841796875,23176.17578125,23549.509765625,181933077
2023-02-28,23113.357421875,23545.75,23044.9609375,23489.8984375,170818418
2023-03-01,23646.732421875,23851.857421875,23035.857421875,23116.796875,174233559
2023-03-02,23462.287109375,23740.412109375,23220.021484375,23643.9375,150737697
2023-03-03,22358.67578125,23475.99609375,22197.93359375,23461.013671875,185495914
2023-03-04,22317.8671875,22406.568359375,22172.62890625,22356.67578125,104282148
2023-03-05,22413.615234375,22593.8359375,22278.564453125,22322.81640625,140400462
2023-03-06,22400.15234375,22564.828125,22311.65234375,22421.78125,117993207
2023-03-07,22206.59765625,22525.48046875,22014.322265625,22395.1171875,145543542
2023-03-08,21705.927734375,22266.15234375,21704.724609375,22208.60546875,116683768
2023-03-09,20357.595703125,21792.984375,20167.529296875,21703.64453125,249010458
2023-03-10,20217.09375,20364.841796875,19642.40625,20360.802734375,300907978
2023-03-11,20739.498046875,21194.4296875,19947.814453125,20221.912109375,749682009
2023-03-12,22106.990234375,22106.990234375,20475.591796875,20715.701171875,311137096
2023-03-13,24127.3046875,24313.60546875,21970.859375,22110.11328125,541096687
2023-03-14,24735.005859375,26184.8984375,24083.259765625,24127.154296875,584708279
2023-03-15,24389.240234375,25062.083984375,24061.1328125,24722.966796875,398042469
2023-03-16,25045.505859375,25103.111328125,24237.90625,24391.630859375,176957648
2023-03-17,27404.826171875,27637.748046875,24936.375,25046.181640625,447344443
2023-03-18,26932.509765625,27669.4296875,26816.091796875,27414.53515625,347500364
2023-03-19,28008.150390625,28372.396484375,26913.61328125,26938.955078125,324268280
2023-03-20,27711.03125,28385.537109375,27278.83984375,28015.6328125,321025643
2023-03-21,28148.912109375,28355.830078125,27455.048828125,27714.87890625,299641441
2023-03-22,27319.486328125,28728.29296875,26870.306640625,28149.138671875,316751794
2023-03-23,28372.41796875,28650.41015625,27229.564453125,27320.1484375,223347298
2023-03-24,27480.662109375,28378.015625,27191.61328125,28364.6953125,182273779
2023-03-25,27500.42578125,27757.119140625,27243.9609375,27480.4375,64438055
2023-03-26,28037.466796875,28166.537109375,27464.470703125,27502.26171875,118750582
2023-03-27,27170.87109375,28051.990234375,26718.0546875,28034.328125,154228117
2023-03-28,27312.857421875,27507.541015625,26770.037109375,27167.125,124870515
2023-03-29,28360.01953125,28507.056640625,27290.767578125,27302.04296875,165889966
2023-03-30,28044.533203125,29064.896484375,27840.29296875,28358.248046875,160881418
2023-03-31,28495.279296875,28582.75,27704.451171875,28046.50390625,138235220
2023-04-01,28402.939453125,28730.490234375,28328.205078125,28497.396484375,71623486
2023-04-02,28179.482421875,28511.83203125,27912.267578125,28480.908203125,75693320
2023-04-03,27859.671875,28432.236328125,27437.025390625,28176.951171875,175274987
2023-04-04,28210.0625,28484.986328125,27756.3671875,27864.091796875,140450030
2023-04-05,28250.693359375,28715.126953125,27969.248046875,28212.802734375,140457794
2023-04-06,28065.19140625,28253.94140625,27815.818359375,28253.94140625,95580541
2023-04-07,27967.724609375,28131.99609375,27847.1640625,28063.970703125,62114081
2023-04-08,27957.0234375,28159.416015625,27890.978515625,27967.326171875,63039677
2023-04-09,28343.87890625,28460.689453125,27861.509765625,27955.71875,82311772
2023-04-10,29642.0234375,29695.712890625,28222.4765625,28346.533203125,149086857
2023-04-11,30213.67578125,30391.3125,29616.986328125,29643.541015625,239450513
2023-04-12,30132.65234375,30376.673828125,29865.84375,30217.162109375,190316940
2023-04-13,30430.451171875,30551.314453125,29887.548828125,29932.44140625,182461420
2023-04-14,30496.65625,31129.705078125,30130.39453125,30432.44921875,335673508
2023-04-15,30355.736328125,30580.3359375,30279.666015625,30493.16796875,115008530
2023-04-16,30362.708984375,30633.544921875,30185.587890625,30357.271484375,105265971
2023-04-17,29478.341796875,30370.54296875,29381.77734375,30359.767578125,95653602
2023-04-18,30404.044921875,30404.044921875,29249.177734375,29481.6953125,123855885
2023-04-19,28821.791015625,30400.369140625,28692.724609375,30400.369140625,172370949
2023-04-20,28250.5234375,29045.119140625,28125.373046875,28806.99609375,139743308
2023-04-21,27307.51171875,28350.470703125,27206.89453125,28249.3671875,171097259
2023-04-22,27799.63671875,27828.224609375,27218.28125,27309.478515625,74792283
2023-04-23,27587.701171875,27801.3125,27378.193359375,27801.302734375,78325008
2023-04-24,27483.3046875,27920.7109375,27076.740234375,27587.921875,126769299
2023-04-25,28272.486328125,28291.05078125,27202.681640625,27481.248046875,128598257
2023-04-26,28376.6484375,29851.55859375,27523.208984375,28272.375,318209372
2023-04-27,29443.259765625,29736.603515625,28372.24609375,28377.5390625,305587687
2023-04-28,29343.474609375,29535.5078125,28997.716796875,29441.953125,115087796
2023-04-29,29255.103515625,29436.107421875,29151.5625,29335.52734375,55202145
2023-04-30,29280.037109375,29842.380859375,29137.953125,29262.982421875,88580907
2023-05-01,28102.55859375,29324.67578125,27816.947265625,29263.66796875,137228469
2023-05-02,28688.349609375,28804.7578125,27973.939453125,28102.740234375,101819019
2023-05-03,29026.95703125,29163.509765625,28238.3203125,28684.8515625,158085462
2023-05-04,28840.74609375,29291.466796875,28750.984375,29025.796875,77956485
2023-05-05,29572.978515625,29681.046875,28833.748046875,28842.138671875,176356960
2023-05-06,28897.9921875,29790.5703125,28576.041015625,29575.1796875,161171677
2023-05-07,28542.15625,29114.5390625,28542.15625,28897.18359375,72124503
2023-05-08,27684.90234375,28609.228515625,27419.041015625,28541.93359375,166469372
2023-05-09,27651.865234375,27777.970703125,27465.0546875,27683.3359375,52908925
2023-05-10,27630.875,28253.92578125,27104.046875,27654.71875,143240418
2023-05-11,27007.78515625,27630.583984375,26829.205078125,27628.21484375,93809011
2023-05-12,26786.55859375,27042.505859375,26031.654296875,27010.509765625,173465468
2023-05-13,26828.84765625,26941.8671875,26737.609375,26782.986328125,65018923
2023-05-14,26924.2578125,27108.0078125,26725.78125,26827.890625,55365236
2023-05-15,27228.7109375,27604.466796875,26775.484375,26923.736328125,70125599
2023-05-16,27047.59765625,27278.404296875,26948.65234375,27231.66015625,67307413
2023-05-17,27367.900390625,27396.326171875,26642.658203125,27047.140625,95286794
2023-05-18,26845.765625,27402.71875,26547.8828125,27366.8203125,77638429
2023-05-19,26902.283203125,27103.20703125,26799.046875,26843.224609375,49176063
2023-05-20,27094.3359375,27103.091796875,26862.26171875,26905.4453125,27611090
2023-05-21,26786.041015625,27211.666015625,26766.47265625,27097.458984375,39507878
2023-05-22,26895.6484375,27023.447265625,26631.9609375,26784.78125,49929174
2023-05-23,27247.107421875,27417.171875,26863.56640625,26895.615234375,65675701
2023-05-24,26412.720703125,27251.482421875,26240.755859375,27246.208984375,87571615
2023-05-25,26487.9140625,26546.56640625,26013.88671875,26403.982421875,100356116
2023-05-26,26735.861328125,26814.58203125,26384.5703125,26487.5,103747581
2023-05-27,26850.94921875,26853.703125,26659.123046875,26735.59765625,56749474
2023-05-28,28097.13671875,28137.90234375,26811.6484375,26849.087890625,164331237
2023-05-29,27763.458984375,28312.97265625,27608.59375,28095.50390625,131579079
2023-05-30,27738.888671875,28010.88671875,27670.033203125,27759.328125,115455161
2023-05-31,27231.458984375,27808.423828125,26964.361328125,27738.205078125,134232469
2023-06-01,26841.626953125,27325.962890625,26763.775390625,27233.29296875,119611841
2023-06-02,27270.685546875,27290.0625,26690.5390625,26837.8046875,136450974
2023-06-03,27092.40234375,27277.66796875,27028.109375,27272.27734375,81733744
2023-06-04,27133.962890625,27369.666015625,27020.779296875,27094.025390625,83899437
2023-06-05,25794.6796875,27136.544921875,25565.16796875,27131.998046875,184670627
2023-06-06,27184.263671875,27223.03515625,25534.478515625,25794.2421875,166841554
2023-06-07,26337.734375,27257.0390625,26236.17578125,27185.13671875,163353091
2023-06-08,26540.744140625,26701.552734375,26295.39453125,26339.65625,96072958
2023-06-09,26477.94140625,26719.51953125,26389.583984375,26542.978515625,86733678
2023-06-10,25867.0234375,26511.01171875,25493.31640625,26477.470703125,208684310
2023-06-11,25894.712890625,26154.62109375,25708.48046875,25864.95703125,76873219
2023-06-12,25902.748046875,26038.333984375,25677.271484375,25895.37109375,136201960
2023-06-13,25893.8046875,26313.484375,25765.69921875,25904.822265625,106078458
2023-06-14,25097.873046875,26017.248046875,24901.06640625,25891.841796875,146919633
